id,ts,instrument_id,side,qty,order_type,limit_price,tif
strat-USO-SHORT-2020-06-01T20:00:00+00:00,2020-06-01T20:00:00+00:00,USO,SELL,433,market,,GTC
strat-SPY-LONG-2020-07-01T20:00:00+00:00,2020-07-01T20:00:00+00:00,SPY,BUY,68,market,,GTC
strat-QQQ-SHORT-2020-07-01T20:00:00+00:00,2020-07-01T20:00:00+00:00,QQQ,SELL,4,market,,GTC
strat-TLT-LONG-2020-07-01T20:00:00+00:00,2020-07-01T20:00:00+00:00,TLT,BUY,4,market,,GTC
strat-GLD-LONG-2020-07-01T20:00:00+00:00,2020-07-01T20:00:00+00:00,GLD,BUY,2,market,,GTC
strat-USO-SHORT-2020-07-01T20:00:00+00:00,2020-07-01T20:00:00+00:00,USO,SELL,29,market,,GTC
strat-SPY-LONG-2020-08-03T20:00:00+00:00,2020-08-03T20:00:00+00:00,SPY,BUY,56,market,,GTC
strat-QQQ-SHORT-2020-08-03T20:00:00+00:00,2020-08-03T20:00:00+00:00,QQQ,SELL,15,market,,GTC
strat-IWM-LONG-2020-08-03T20:00:00+00:00,2020-08-03T20:00:00+00:00,IWM,BUY,124,market,,GTC
strat-TLT-SHORT-2020-08-03T20:00:00+00:00,2020-08-03T20:00:00+00:00,TLT,SELL,21,market,,GTC
strat-GLD-SHORT-2020-08-03T20:00:00+00:00,2020-08-03T20:00:00+00:00,GLD,SELL,27,market,,GTC
strat-USO-SHORT-2020-08-03T20:00:00+00:00,2020-08-03T20:00:00+00:00,USO,SELL,120,market,,GTC
strat-SPY-SHORT-2020-09-01T20:00:00+00:00,2020-09-01T20:00:00+00:00,SPY,SELL,2,market,,GTC
strat-QQQ-SHORT-2020-09-01T20:00:00+00:00,2020-09-01T20:00:00+00:00,QQQ,SELL,6,market,,GTC
strat-IWM-SHORT-2020-09-01T20:00:00+00:00,2020-09-01T20:00:00+00:00,IWM,SELL,2,market,,GTC
strat-TLT-LONG-2020-09-01T20:00:00+00:00,2020-09-01T20:00:00+00:00,TLT,BUY,8,market,,GTC
strat-GLD-LONG-2020-09-01T20:00:00+00:00,2020-09-01T20:00:00+00:00,GLD,BUY,4,market,,GTC
strat-USO-SHORT-2020-09-01T20:00:00+00:00,2020-09-01T20:00:00+00:00,USO,SELL,5,market,,GTC
strat-SPY-LONG-2020-10-01T20:00:00+00:00,2020-10-01T20:00:00+00:00,SPY,BUY,1,market,,GTC
strat-QQQ-LONG-2020-10-01T20:00:00+00:00,2020-10-01T20:00:00+00:00,QQQ,BUY,2,market,,GTC
strat-IWM-SHORT-2020-10-01T20:00:00+00:00,2020-10-01T20:00:00+00:00,IWM,SELL,1,market,,GTC
strat-TLT-LONG-2020-10-01T20:00:00+00:00,2020-10-01T20:00:00+00:00,TLT,BUY,4,market,,GTC
strat-GLD-SHORT-2020-10-01T20:00:00+00:00,2020-10-01T20:00:00+00:00,GLD,SELL,1,market,,GTC
strat-USO-LONG-2020-10-01T20:00:00+00:00,2020-10-01T20:00:00+00:00,USO,BUY,49,market,,GTC
strat-SPY-LONG-2020-11-02T21:00:00+00:00,2020-11-02T21:00:00+00:00,SPY,BUY,10,market,,GTC
strat-QQQ-LONG-2020-11-02T21:00:00+00:00,2020-11-02T21:00:00+00:00,QQQ,BUY,14,market,,GTC
strat-IWM-LONG-2020-11-02T21:00:00+00:00,2020-11-02T21:00:00+00:00,IWM,BUY,17,market,,GTC
strat-GLD-LONG-2020-11-02T21:00:00+00:00,2020-11-02T21:00:00+00:00,GLD,BUY,18,market,,GTC
strat-USO-LONG-2020-11-02T21:00:00+00:00,2020-11-02T21:00:00+00:00,USO,BUY,140,market,,GTC
strat-TLT-SHORT-2020-11-02T21:00:00+00:00,2020-11-02T21:00:00+00:00,TLT,SELL,113,market,,GTC
strat-SPY-LONG-2020-12-01T21:00:00+00:00,2020-12-01T21:00:00+00:00,SPY,BUY,9,market,,GTC
strat-QQQ-LONG-2020-12-01T21:00:00+00:00,2020-12-01T21:00:00+00:00,QQQ,BUY,12,market,,GTC
strat-IWM-LONG-2020-12-01T21:00:00+00:00,2020-12-01T21:00:00+00:00,IWM,BUY,8,market,,GTC
strat-GLD-LONG-2020-12-01T21:00:00+00:00,2020-12-01T21:00:00+00:00,GLD,BUY,36,market,,GTC
strat-USO-LONG-2020-12-01T21:00:00+00:00,2020-12-01T21:00:00+00:00,USO,BUY,101,market,,GTC
strat-SPY-LONG-2021-01-04T21:00:00+00:00,2021-01-04T21:00:00+00:00,SPY,BUY,3,market,,GTC
strat-QQQ-LONG-2021-01-04T21:00:00+00:00,2021-01-04T21:00:00+00:00,QQQ,BUY,3,market,,GTC
strat-IWM-SHORT-2021-01-04T21:00:00+00:00,2021-01-04T21:00:00+00:00,IWM,SELL,1,market,,GTC
strat-GLD-SHORT-2021-01-04T21:00:00+00:00,2021-01-04T21:00:00+00:00,GLD,SELL,2,market,,GTC
strat-USO-SHORT-2021-01-04T21:00:00+00:00,2021-01-04T21:00:00+00:00,USO,SELL,9,market,,GTC
strat-SPY-LONG-2021-02-01T21:00:00+00:00,2021-02-01T21:00:00+00:00,SPY,BUY,3,market,,GTC
strat-QQQ-LONG-2021-02-01T21:00:00+00:00,2021-02-01T21:00:00+00:00,QQQ,BUY,1,market,,GTC
strat-IWM-SHORT-2021-02-01T21:00:00+00:00,2021-02-01T21:00:00+00:00,IWM,SELL,9,market,,GTC
strat-GLD-LONG-2021-02-01T21:00:00+00:00,2021-02-01T21:00:00+00:00,GLD,BUY,8,market,,GTC
strat-USO-SHORT-2021-02-01T21:00:00+00:00,2021-02-01T21:00:00+00:00,USO,SELL,67,market,,GTC
strat-SPY-LONG-2021-03-01T21:00:00+00:00,2021-03-01T21:00:00+00:00,SPY,BUY,17,market,,GTC
strat-QQQ-LONG-2021-03-01T21:00:00+00:00,2021-03-01T21:00:00+00:00,QQQ,BUY,23,market,,GTC
strat-IWM-LONG-2021-03-01T21:00:00+00:00,2021-03-01T21:00:00+00:00,IWM,BUY,26,market,,GTC
strat-USO-LONG-2021-03-01T21:00:00+00:00,2021-03-01T21:00:00+00:00,USO,BUY,111,market,,GTC
strat-GLD-SHORT-2021-03-01T21:00:00+00:00,2021-03-01T21:00:00+00:00,GLD,SELL,145,market,,GTC
strat-SPY-LONG-2021-04-01T20:00:00+00:00,2021-04-01T20:00:00+00:00,SPY,BUY,15,market,,GTC
strat-QQQ-LONG-2021-04-01T20:00:00+00:00,2021-04-01T20:00:00+00:00,QQQ,BUY,24,market,,GTC
strat-IWM-LONG-2021-04-01T20:00:00+00:00,2021-04-01T20:00:00+00:00,IWM,BUY,28,market,,GTC
strat-USO-LONG-2021-04-01T20:00:00+00:00,2021-04-01T20:00:00+00:00,USO,BUY,91,market,,GTC
strat-QQQ-LONG-2021-05-03T20:00:00+00:00,2021-05-03T20:00:00+00:00,QQQ,BUY,1,market,,GTC
strat-IWM-LONG-2021-05-03T20:00:00+00:00,2021-05-03T20:00:00+00:00,IWM,BUY,6,market,,GTC
strat-USO-SHORT-2021-05-03T20:00:00+00:00,2021-05-03T20:00:00+00:00,USO,SELL,6,market,,GTC
strat-SPY-SHORT-2021-06-01T20:00:00+00:00,2021-06-01T20:00:00+00:00,SPY,SELL,16,market,,GTC
strat-QQQ-SHORT-2021-06-01T20:00:00+00:00,2021-06-01T20:00:00+00:00,QQQ,SELL,19,market,,GTC
strat-IWM-SHORT-2021-06-01T20:00:00+00:00,2021-06-01T20:00:00+00:00,IWM,SELL,31,market,,GTC
strat-GLD-LONG-2021-06-01T20:00:00+00:00,2021-06-01T20:00:00+00:00,GLD,BUY,157,market,,GTC
strat-USO-SHORT-2021-06-01T20:00:00+00:00,2021-06-01T20:00:00+00:00,USO,SELL,183,market,,GTC
strat-SPY-LONG-2021-07-01T20:00:00+00:00,2021-07-01T20:00:00+00:00,SPY,BUY,18,market,,GTC
strat-QQQ-LONG-2021-07-01T20:00:00+00:00,2021-07-01T20:00:00+00:00,QQQ,BUY,18,market,,GTC
strat-IWM-LONG-2021-07-01T20:00:00+00:00,2021-07-01T20:00:00+00:00,IWM,BUY,35,market,,GTC
strat-USO-LONG-2021-07-01T20:00:00+00:00,2021-07-01T20:00:00+00:00,USO,BUY,115,market,,GTC
strat-SPY-SHORT-2021-08-02T20:00:00+00:00,2021-08-02T20:00:00+00:00,SPY,SELL,18,market,,GTC
strat-QQQ-SHORT-2021-08-02T20:00:00+00:00,2021-08-02T20:00:00+00:00,QQQ,SELL,22,market,,GTC
strat-IWM-SHORT-2021-08-02T20:00:00+00:00,2021-08-02T20:00:00+00:00,IWM,SELL,24,market,,GTC
strat-TLT-LONG-2021-08-02T20:00:00+00:00,2021-08-02T20:00:00+00:00,TLT,BUY,194,market,,GTC
strat-USO-SHORT-2021-08-02T20:00:00+00:00,2021-08-02T20:00:00+00:00,USO,SELL,123,market,,GTC
strat-SPY-SHORT-2021-09-01T20:00:00+00:00,2021-09-01T20:00:00+00:00,SPY,SELL,1,market,,GTC
strat-QQQ-SHORT-2021-09-01T20:00:00+00:00,2021-09-01T20:00:00+00:00,QQQ,SELL,3,market,,GTC
strat-IWM-SHORT-2021-09-01T20:00:00+00:00,2021-09-01T20:00:00+00:00,IWM,SELL,4,market,,GTC
strat-TLT-LONG-2021-09-01T20:00:00+00:00,2021-09-01T20:00:00+00:00,TLT,BUY,197,market,,GTC
strat-USO-LONG-2021-09-01T20:00:00+00:00,2021-09-01T20:00:00+00:00,USO,BUY,20,market,,GTC
strat-SPY-LONG-2021-10-01T20:00:00+00:00,2021-10-01T20:00:00+00:00,SPY,BUY,2,market,,GTC
strat-QQQ-LONG-2021-10-01T20:00:00+00:00,2021-10-01T20:00:00+00:00,QQQ,BUY,4,market,,GTC
strat-IWM-LONG-2021-10-01T20:00:00+00:00,2021-10-01T20:00:00+00:00,IWM,BUY,2,market,,GTC
strat-TLT-LONG-2021-10-01T20:00:00+00:00,2021-10-01T20:00:00+00:00,TLT,BUY,201,market,,GTC
strat-USO-SHORT-2021-10-01T20:00:00+00:00,2021-10-01T20:00:00+00:00,USO,SELL,68,market,,GTC
strat-QQQ-SHORT-2021-11-01T20:00:00+00:00,2021-11-01T20:00:00+00:00,QQQ,SELL,2,market,,GTC
strat-IWM-LONG-2021-11-01T20:00:00+00:00,2021-11-01T20:00:00+00:00,IWM,BUY,1,market,,GTC
strat-TLT-LONG-2021-11-01T20:00:00+00:00,2021-11-01T20:00:00+00:00,TLT,BUY,9,market,,GTC
strat-USO-SHORT-2021-11-01T20:00:00+00:00,2021-11-01T20:00:00+00:00,USO,SELL,11,market,,GTC
strat-SPY-LONG-2021-12-01T21:00:00+00:00,2021-12-01T21:00:00+00:00,SPY,BUY,43,market,,GTC
strat-QQQ-LONG-2021-12-01T21:00:00+00:00,2021-12-01T21:00:00+00:00,QQQ,BUY,49,market,,GTC
strat-TLT-LONG-2021-12-01T21:00:00+00:00,2021-12-01T21:00:00+00:00,TLT,BUY,116,market,,GTC
strat-IWM-SHORT-2021-12-01T21:00:00+00:00,2021-12-01T21:00:00+00:00,IWM,SELL,132,market,,GTC
strat-USO-SHORT-2021-12-01T21:00:00+00:00,2021-12-01T21:00:00+00:00,USO,SELL,537,market,,GTC
strat-SPY-SHORT-2022-01-03T21:00:00+00:00,2022-01-03T21:00:00+00:00,SPY,SELL,15,market,,GTC
strat-QQQ-SHORT-2022-01-03T21:00:00+00:00,2022-01-03T21:00:00+00:00,QQQ,SELL,17,market,,GTC
strat-IWM-LONG-2022-01-03T21:00:00+00:00,2022-01-03T21:00:00+00:00,IWM,BUY,110,market,,GTC
strat-TLT-SHORT-2022-01-03T21:00:00+00:00,2022-01-03T21:00:00+00:00,TLT,SELL,39,market,,GTC
strat-GLD-LONG-2022-01-03T21:00:00+00:00,2022-01-03T21:00:00+00:00,GLD,BUY,148,market,,GTC
strat-USO-LONG-2022-01-03T21:00:00+00:00,2022-01-03T21:00:00+00:00,USO,BUY,454,market,,GTC
strat-SPY-LONG-2022-02-01T21:00:00+00:00,2022-02-01T21:00:00+00:00,SPY,BUY,54,market,,GTC
strat-QQQ-LONG-2022-02-01T21:00:00+00:00,2022-02-01T21:00:00+00:00,QQQ,BUY,69,market,,GTC
strat-USO-LONG-2022-02-01T21:00:00+00:00,2022-02-01T21:00:00+00:00,USO,BUY,323,market,,GTC
strat-IWM-SHORT-2022-02-01T21:00:00+00:00,2022-02-01T21:00:00+00:00,IWM,SELL,110,market,,GTC
strat-TLT-SHORT-2022-02-01T21:00:00+00:00,2022-02-01T21:00:00+00:00,TLT,SELL,171,market,,GTC
strat-GLD-SHORT-2022-02-01T21:00:00+00:00,2022-02-01T21:00:00+00:00,GLD,SELL,148,market,,GTC
strat-GLD-LONG-2022-03-01T21:00:00+00:00,2022-03-01T21:00:00+00:00,GLD,BUY,403,market,,GTC
strat-USO-LONG-2022-03-01T21:00:00+00:00,2022-03-01T21:00:00+00:00,USO,BUY,552,market,,GTC
strat-SPY-SHORT-2022-03-01T21:00:00+00:00,2022-03-01T21:00:00+00:00,SPY,SELL,52,market,,GTC
strat-QQQ-SHORT-2022-03-01T21:00:00+00:00,2022-03-01T21:00:00+00:00,QQQ,SELL,62,market,,GTC
strat-SPY-LONG-2022-04-01T20:00:00+00:00,2022-04-01T20:00:00+00:00,SPY,BUY,110,market,,GTC
strat-GLD-LONG-2022-04-01T20:00:00+00:00,2022-04-01T20:00:00+00:00,GLD,BUY,277,market,,GTC
strat-USO-SHORT-2022-04-01T20:00:00+00:00,2022-04-01T20:00:00+00:00,USO,SELL,333,market,,GTC
strat-GLD-LONG-2022-05-02T20:00:00+00:00,2022-05-02T20:00:00+00:00,GLD,BUY,143,market,,GTC
strat-USO-LONG-2022-05-02T20:00:00+00:00,2022-05-02T20:00:00+00:00,USO,BUY,263,market,,GTC
strat-SPY-SHORT-2022-05-02T20:00:00+00:00,2022-05-02T20:00:00+00:00,SPY,SELL,110,market,,GTC
strat-GLD-LONG-2022-06-01T20:00:00+00:00,2022-06-01T20:00:00+00:00,GLD,BUY,158,market,,GTC
strat-USO-LONG-2022-06-01T20:00:00+00:00,2022-06-01T20:00:00+00:00,USO,BUY,213,market,,GTC
strat-USO-LONG-2022-07-01T20:00:00+00:00,2022-07-01T20:00:00+00:00,USO,BUY,876,market,,GTC
strat-GLD-SHORT-2022-07-01T20:00:00+00:00,2022-07-01T20:00:00+00:00,GLD,SELL,435,market,,GTC
strat-USO-LONG-2022-08-01T20:00:00+00:00,2022-08-01T20:00:00+00:00,USO,BUY,1004,market,,GTC
strat-USO-LONG-2022-09-01T20:00:00+00:00,2022-09-01T20:00:00+00:00,USO,BUY,1030,market,,GTC
strat-USO-SHORT-2022-10-03T20:00:00+00:00,2022-10-03T20:00:00+00:00,USO,SELL,886,market,,GTC
strat-SPY-LONG-2022-12-01T21:00:00+00:00,2022-12-01T21:00:00+00:00,SPY,BUY,108,market,,GTC
strat-IWM-LONG-2022-12-01T21:00:00+00:00,2022-12-01T21:00:00+00:00,IWM,BUY,236,market,,GTC
strat-GLD-LONG-2022-12-01T21:00:00+00:00,2022-12-01T21:00:00+00:00,GLD,BUY,263,market,,GTC
strat-GLD-LONG-2023-01-03T21:00:00+00:00,2023-01-03T21:00:00+00:00,GLD,BUY,483,market,,GTC
strat-SPY-SHORT-2023-01-03T21:00:00+00:00,2023-01-03T21:00:00+00:00,SPY,SELL,108,market,,GTC
strat-IWM-SHORT-2023-01-03T21:00:00+00:00,2023-01-03T21:00:00+00:00,IWM,SELL,236,market,,GTC
strat-SPY-LONG-2023-02-01T21:00:00+00:00,2023-02-01T21:00:00+00:00,SPY,BUY,78,market,,GTC
strat-QQQ-LONG-2023-02-01T21:00:00+00:00,2023-02-01T21:00:00+00:00,QQQ,BUY,106,market,,GTC
strat-IWM-LONG-2023-02-01T21:00:00+00:00,2023-02-01T21:00:00+00:00,IWM,BUY,166,market,,GTC
strat-GLD-SHORT-2023-02-01T21:00:00+00:00,2023-02-01T21:00:00+00:00,GLD,SELL,86,market,,GTC
strat-IWM-SHORT-2023-03-01T21:00:00+00:00,2023-03-01T21:00:00+00:00,IWM,SELL,2,market,,GTC
strat-GLD-LONG-2023-03-01T21:00:00+00:00,2023-03-01T21:00:00+00:00,GLD,BUY,4,market,,GTC
strat-QQQ-SHORT-2023-04-03T20:00:00+00:00,2023-04-03T20:00:00+00:00,QQQ,SELL,6,market,,GTC
strat-TLT-LONG-2023-04-03T20:00:00+00:00,2023-04-03T20:00:00+00:00,TLT,BUY,302,market,,GTC
strat-GLD-SHORT-2023-04-03T20:00:00+00:00,2023-04-03T20:00:00+00:00,GLD,SELL,7,market,,GTC
strat-IWM-SHORT-2023-04-03T20:00:00+00:00,2023-04-03T20:00:00+00:00,IWM,SELL,164,market,,GTC
strat-SPY-LONG-2023-05-01T20:00:00+00:00,2023-05-01T20:00:00+00:00,SPY,BUY,26,market,,GTC
strat-QQQ-LONG-2023-05-01T20:00:00+00:00,2023-05-01T20:00:00+00:00,QQQ,BUY,34,market,,GTC
strat-GLD-LONG-2023-05-01T20:00:00+00:00,2023-05-01T20:00:00+00:00,GLD,BUY,60,market,,GTC
strat-QQQ-SHORT-2023-06-01T20:00:00+00:00,2023-06-01T20:00:00+00:00,QQQ,SELL,9,market,,GTC
strat-GLD-LONG-2023-06-01T20:00:00+00:00,2023-06-01T20:00:00+00:00,GLD,BUY,6,market,,GTC
strat-SPY-SHORT-2023-07-03T17:00:00+00:00,2023-07-03T17:00:00+00:00,SPY,SELL,27,market,,GTC
strat-QQQ-SHORT-2023-07-03T17:00:00+00:00,2023-07-03T17:00:00+00:00,QQQ,SELL,33,market,,GTC
strat-IWM-LONG-2023-07-03T17:00:00+00:00,2023-07-03T17:00:00+00:00,IWM,BUY,182,market,,GTC
strat-GLD-SHORT-2023-07-03T17:00:00+00:00,2023-07-03T17:00:00+00:00,GLD,SELL,43,market,,GTC
strat-SPY-SHORT-2023-08-01T20:00:00+00:00,2023-08-01T20:00:00+00:00,SPY,SELL,16,market,,GTC
strat-QQQ-SHORT-2023-08-01T20:00:00+00:00,2023-08-01T20:00:00+00:00,QQQ,SELL,19,market,,GTC
strat-IWM-LONG-2023-08-01T20:00:00+00:00,2023-08-01T20:00:00+00:00,IWM,BUY,142,market,,GTC
strat-GLD-SHORT-2023-08-01T20:00:00+00:00,2023-08-01T20:00:00+00:00,GLD,SELL,37,market,,GTC
strat-USO-LONG-2023-08-01T20:00:00+00:00,2023-08-01T20:00:00+00:00,USO,BUY,381,market,,GTC
strat-IWM-LONG-2023-09-01T20:00:00+00:00,2023-09-01T20:00:00+00:00,IWM,BUY,2,market,,GTC
strat-GLD-SHORT-2023-09-01T20:00:00+00:00,2023-09-01T20:00:00+00:00,GLD,SELL,1,market,,GTC
strat-USO-SHORT-2023-09-01T20:00:00+00:00,2023-09-01T20:00:00+00:00,USO,SELL,22,market,,GTC
strat-SPY-LONG-2023-10-02T20:00:00+00:00,2023-10-02T20:00:00+00:00,SPY,BUY,43,market,,GTC
strat-QQQ-LONG-2023-10-02T20:00:00+00:00,2023-10-02T20:00:00+00:00,QQQ,BUY,50,market,,GTC
strat-USO-LONG-2023-10-02T20:00:00+00:00,2023-10-02T20:00:00+00:00,USO,BUY,206,market,,GTC
strat-IWM-SHORT-2023-10-02T20:00:00+00:00,2023-10-02T20:00:00+00:00,IWM,SELL,142,market,,GTC
strat-GLD-SHORT-2023-10-02T20:00:00+00:00,2023-10-02T20:00:00+00:00,GLD,SELL,153,market,,GTC
strat-SPY-LONG-2023-11-01T20:00:00+00:00,2023-11-01T20:00:00+00:00,SPY,BUY,15,market,,GTC
strat-QQQ-LONG-2023-11-01T20:00:00+00:00,2023-11-01T20:00:00+00:00,QQQ,BUY,17,market,,GTC
strat-GLD-LONG-2023-11-01T20:00:00+00:00,2023-11-01T20:00:00+00:00,GLD,BUY,177,market,,GTC
strat-USO-LONG-2023-11-01T20:00:00+00:00,2023-11-01T20:00:00+00:00,USO,BUY,76,market,,GTC
strat-SPY-SHORT-2023-12-01T21:00:00+00:00,2023-12-01T21:00:00+00:00,SPY,SELL,3,market,,GTC
strat-QQQ-SHORT-2023-12-01T21:00:00+00:00,2023-12-01T21:00:00+00:00,QQQ,SELL,4,market,,GTC
strat-IWM-LONG-2023-12-01T21:00:00+00:00,2023-12-01T21:00:00+00:00,IWM,BUY,182,market,,GTC
strat-GLD-SHORT-2023-12-01T21:00:00+00:00,2023-12-01T21:00:00+00:00,GLD,SELL,2,market,,GTC
strat-USO-SHORT-2023-12-01T21:00:00+00:00,2023-12-01T21:00:00+00:00,USO,SELL,435,market,,GTC
strat-SPY-SHORT-2024-01-02T21:00:00+00:00,2024-01-02T21:00:00+00:00,SPY,SELL,15,market,,GTC
strat-QQQ-SHORT-2024-01-02T21:00:00+00:00,2024-01-02T21:00:00+00:00,QQQ,SELL,18,market,,GTC
strat-IWM-LONG-2024-01-02T21:00:00+00:00,2024-01-02T21:00:00+00:00,IWM,BUY,138,market,,GTC
strat-TLT-LONG-2024-01-02T21:00:00+00:00,2024-01-02T21:00:00+00:00,TLT,BUY,281,market,,GTC
strat-GLD-SHORT-2024-01-02T21:00:00+00:00,2024-01-02T21:00:00+00:00,GLD,SELL,31,market,,GTC
strat-SPY-SHORT-2024-02-01T21:00:00+00:00,2024-02-01T21:00:00+00:00,SPY,SELL,3,market,,GTC
strat-QQQ-SHORT-2024-02-01T21:00:00+00:00,2024-02-01T21:00:00+00:00,QQQ,SELL,4,market,,GTC
strat-IWM-LONG-2024-02-01T21:00:00+00:00,2024-02-01T21:00:00+00:00,IWM,BUY,2,market,,GTC
strat-SPY-SHORT-2024-03-01T21:00:00+00:00,2024-03-01T21:00:00+00:00,SPY,SELL,1,market,,GTC
strat-QQQ-SHORT-2024-03-01T21:00:00+00:00,2024-03-01T21:00:00+00:00,QQQ,SELL,1,market,,GTC
strat-IWM-SHORT-2024-03-01T21:00:00+00:00,2024-03-01T21:00:00+00:00,IWM,SELL,2,market,,GTC
strat-GLD-LONG-2024-03-01T21:00:00+00:00,2024-03-01T21:00:00+00:00,GLD,BUY,1,market,,GTC
strat-USO-LONG-2024-03-01T21:00:00+00:00,2024-03-01T21:00:00+00:00,USO,BUY,375,market,,GTC
strat-TLT-SHORT-2024-03-01T21:00:00+00:00,2024-03-01T21:00:00+00:00,TLT,SELL,281,market,,GTC
strat-SPY-LONG-2024-04-01T20:00:00+00:00,2024-04-01T20:00:00+00:00,SPY,BUY,1,market,,GTC
strat-QQQ-LONG-2024-04-01T20:00:00+00:00,2024-04-01T20:00:00+00:00,QQQ,BUY,2,market,,GTC
strat-IWM-LONG-2024-04-01T20:00:00+00:00,2024-04-01T20:00:00+00:00,IWM,BUY,3,market,,GTC
strat-GLD-SHORT-2024-04-01T20:00:00+00:00,2024-04-01T20:00:00+00:00,GLD,SELL,6,market,,GTC
strat-USO-LONG-2024-04-01T20:00:00+00:00,2024-04-01T20:00:00+00:00,USO,BUY,365,market,,GTC
strat-SPY-LONG-2024-05-01T20:00:00+00:00,2024-05-01T20:00:00+00:00,SPY,BUY,1,market,,GTC
strat-QQQ-LONG-2024-05-01T20:00:00+00:00,2024-05-01T20:00:00+00:00,QQQ,BUY,1,market,,GTC
strat-IWM-LONG-2024-05-01T20:00:00+00:00,2024-05-01T20:00:00+00:00,IWM,BUY,3,market,,GTC
strat-GLD-SHORT-2024-05-01T20:00:00+00:00,2024-05-01T20:00:00+00:00,GLD,SELL,8,market,,GTC
strat-USO-LONG-2024-05-01T20:00:00+00:00,2024-05-01T20:00:00+00:00,USO,BUY,6,market,,GTC
strat-SPY-LONG-2024-06-03T20:00:00+00:00,2024-06-03T20:00:00+00:00,SPY,BUY,12,market,,GTC
strat-QQQ-LONG-2024-06-03T20:00:00+00:00,2024-06-03T20:00:00+00:00,QQQ,BUY,14,market,,GTC
strat-IWM-LONG-2024-06-03T20:00:00+00:00,2024-06-03T20:00:00+00:00,IWM,BUY,35,market,,GTC
strat-GLD-LONG-2024-06-03T20:00:00+00:00,2024-06-03T20:00:00+00:00,GLD,BUY,35,market,,GTC
